,price($),age_of_car,model,Transmission,Mileage(miles),Exterior_Color,Interior_Color,Gas_mileage_comb(MPG),Engine,Drivetrain,Fuel_type,No._of_features,description_len,Exterior_color_imputed
43,45499,3,GMC,Automatic,32430,Black,Black,18,V8,Front-Wheel Drive,Gasoline,14,4225,0
44,50251,0,Toyota,Automatic,2612,Black,Black,25,I6,Rear-Wheel Drive,Gasoline,6,2111,1
45,31996,3,Honda,Automatic,35803,White,Black,22,V6,All-Wheel Drive,Gasoline,11,4137,0
46,26999,2,Honda,Automatic,14900,Black,Gray,22,V6,Front-Wheel Drive,Gasoline,5,4237,0
47,14000,3,Toyota,Automatic,21512,Black,Black,31,I4,Front-Wheel Drive,Gasoline,1,1846,1
48,19299,3,Chrysler,Automatic,26279,Black,Black,22,V6,All-Wheel Drive,Gasoline,8,2881,0
49,13949,2,Kia,Automatic,17199,Silver,Black,34,I4,Front-Wheel Drive,Gasoline,7,2194,0
50,9750,4,Ford,Automatic,34584,Silver,Black,108,I4,Front-Wheel Drive,Electric,10,4135,0
51,20975,3,Acura,Automatic,67449,Black,Black,23,V6,Front-Wheel Drive,Gasoline,7,4201,0
52,9980,7,MINI,Automatic,63970,White,Black,25,I4,Front-Wheel Drive,Gasoline,4,1119,0
53,17999,3,Nissan,Automatic,34710,White,Black,24,V6,Front-Wheel Drive,Gasoline,8,2601,0
54,14999,3,Nissan,Automatic,31397,Blue,Black,29,I4,Front-Wheel Drive,Gasoline,6,2064,0
55,6750,7,Honda,Automatic,150054,Black,Gray,34,I4,Front-Wheel Drive,Gasoline,2,3430,0
56,41240,3,Chevrolet,Automatic,29826,Silver,Black,25,V8,Front-Wheel Drive,Gasoline,15,4691,0
57,9980,7,Ford,Automatic,78974,White,Black,25,I4,All-Wheel Drive,Gasoline,11,1462,0
58,9899,2,Ford,Automatic,39861,Gray,Black,25,I4,Front-Wheel Drive,Gasoline,4,2745,0
59,28995,2,Honda,Automatic,25242,Gray,Black,22,V6,Front-Wheel Drive,Gasoline,15,4511,0
60,19996,3,MINI,Automatic,24362,Black,Black,27,I4,Front-Wheel Drive,Gasoline,6,1419,0
61,19099,3,Chrysler,Automatic,30448,White,Black,22,V6,All-Wheel Drive,Gasoline,8,2836,0
62,17299,1,Hyundai,Automatic,27205,White,Black,23,I4,All-Wheel Drive,Gasoline,5,2189,0
63,11999,6,Honda,Automatic,56379,Silver,Black,34,I4,Front-Wheel Drive,Gasoline,4,1512,0
64,12950,6,Jeep,Automatic,60226,Black,Black,25,I4,Four-Wheel Drive,Gasoline,3,3558,1
65,32899,1,Jeep,Automatic,28317,Silver,Black,21,V6,Four-Wheel Drive,Gasoline,12,3367,0
